Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(41,17): error CS0117: 'Author' does not contain a definition for 'CreatorId'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(41,37): error CS1061: 'CreateAuthorDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateAuthorDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(42,17): error CS0117: 'Author' does not contain a definition for 'ChangedUser'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(42,39): error CS1061: 'CreateAuthorDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateAuthorDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(92,24): error CS1061: 'Author' does not contain a definition for 'ImageId' and no accessible extension method 'ImageId' accepting a first argument of type 'Author' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(95,118): error CS1061: 'Author' does not contain a definition for 'ImageId' and no accessible extension method 'ImageId' accepting a first argument of type 'Author' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(95,24): error CS1061: 'Author' does not contain a definition for 'Image' and no accessible extension method 'Image' accepting a first argument of type 'Author' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BasicPageService.cs(36,37): error CS1061: 'CreateBasicPageDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateBasicPageDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BasicPageService.cs(37,39): error CS1061: 'CreateBasicPageDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateBasicPageDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BasicPageService.cs(97,53): error CS1061: 'UpdateBasicPageDto' does not contain a definition for 'ChangedUser' and no accessible extension method 'ChangedUser' accepting a first argument of type 'UpdateBasicPageDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BlogCategoryService.cs(45,26): error CS0266: Cannot implicitly convert type 'System.Guid?' to 'System.Guid'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BlogTagService.cs(33,17): error CS0117: 'BlogTag' does not contain a definition for 'Created'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BlogTagService.cs(34,17): error CS0117: 'BlogTag' does not contain a definition for 'Changed'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BlogTagService.cs(35,17): error CS0117: 'BlogTag' does not contain a definition for 'CreatorId'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BlogTagService.cs(36,17): error CS0117: 'BlogTag' does not contain a definition for 'ChangedUser'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/BlogTagService.cs(96,29): error CS1061: 'BlogTag' does not contain a definition for 'Changed' and no accessible extension method 'Changed' accepting a first argument of type 'BlogTag' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/ChangeLogService.cs(109,38): error CS1503: Argument 1: cannot convert from 'System.Guid' to 'string?'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/ChangeLogService.cs(222,58): error CS0019: Operator '==' cannot be applied to operands of type 'Guid' and 'string'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/ChangeLogService.cs(223,58): error CS0019: Operator '==' cannot be applied to operands of type 'Guid' and 'string'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/FAQService.cs(132,49): error CS1061: 'bool' does not contain a definition for 'Value' and no accessible extension method 'Value' accepting a first argument of type 'bool' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/FAQService.cs(52,41): error CS1061: 'bool' does not contain a definition for 'Value' and no accessible extension method 'Value' accepting a first argument of type 'bool' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/GettingStartedCompletedConditionService.cs(102,53): error CS1061: 'UpdateGettingStartedCompletedConditionDto' does not contain a definition for 'ChangedUser' and no accessible extension method 'ChangedUser' accepting a first argument of type 'UpdateGettingStartedCompletedConditionDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/GettingStartedCompletedConditionService.cs(36,37): error CS1061: 'CreateGettingStartedCompletedConditionDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateGettingStartedCompletedConditionDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/GettingStartedCompletedConditionService.cs(37,39): error CS1061: 'CreateGettingStartedCompletedConditionDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateGettingStartedCompletedConditionDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/GoLiveDeveloperTypeService.cs(102,48): error CS1061: 'UpdateGoLiveDeveloperTypeDto' does not contain a definition for 'ChangedUser' and no accessible extension method 'ChangedUser' accepting a first argument of type 'UpdateGoLiveDeveloperTypeDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/GoLiveDeveloperTypeService.cs(36,37): error CS1061: 'CreateGoLiveDeveloperTypeDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateGoLiveDeveloperTypeDto' could be found (are you missing a using directive or an assembly reference?)
